CONCEPT,LABEL,ACRONYM,SYNONYM,DOMAIN,DEFINITION,EXAMPLE,NOTE,RELATEDCONCEPT
abductive reasoning,abductive reasoning,,,logic,A form of logical inference in which a hypothesis is created about the probable causes from observed patterns. ,Data mining is essentially an abductive process.,Abductive reasoning is the primary source of new knowledge.,induction; deduction
abstract,abstract,,,modeling,A more generalized representation.,"""Animal"" is a more abstract concept than ""bear.""",,
accretion,accretion,,,,"The process of gradual change, which is typically accommodated by a system structure. ","In nature, the depositing of silt on a river bend is an accretive change. Overflowing the bank and creating a new channel is an avulsive change.",,avulsion
acyclic,acyclic,,,modeling; graph theory,Not cyclic; does not loop recursively. ,"If you were one of your own ancestors, you would have a cyclic family tree.",,
agent,agent,,,computer science,An autonomous software program acting on a user’s behalf.,,,
aggregate,aggregate,,,"Unified Modeling Langage, Entity-Relationship Modeling",A type of relationship that implies ownership.,,Aggregate relationships are used in the Unified Modeling Language (UML) and entity-relationship (ER) diagrams.,
alias,alias,,,computer science,An alternative and usually easier-to-understand name for a defined data object. ,,,
alias,alias,,synonym,lexicography,An alternative name for something.,,,
ambiguity,ambiguity,,uncertainty,lexicography,A definition or identification that can be understood in more than one way.,,Ambiguity leaves uncertainty as to the specific assignment of referent to thing.,
annotation ,annotation ,,,semantics,The addition of qualifying or contextual information to text or an interface description.,,,
annotation ,annotation ,,,OWL,A property that is not interpreted by the inference engine. ,Annotations can include comments plus a large number of other properties that could be interpreted by other processors.,,
antonymy,antonymy,,"opposite, antonym",lexicography,A sense relation between two words with opposite meanings. ,"""Light"" and ""dark,"" ""dead"" and ""alive,"" ""slow"" and ""quick"" are pairs of antonyms.",,
assertion,assertion,,,logic; modeling,A statement that asserts that a certain premise is true.,"""Robert Jones is Employee 1234"" or ""the Earth is round"" are assertions.",,
assertional box,assertional box,ABox,a-box,"OWL, description logic",Inferences on instances (assertions). ,"Essentially reasoning on instances, similar to the way SQL reasons over instances in a database. Also, extensional.","TBox statements are sometimes associated with object-oriented classes and ABox statements associated with instances of those classes.
","Tbox, Cbox"
association,association,,,"Unified Modeling Langage, Entity-Relationship Modeling",A type of relationship that does not imply ownership.,,,
associative database,associative database,,,computer science,"A style of database design, using sentences to describe associations.",,,
asynchronous messaging,asynchronous messaging,,,computer science,Message transmissions without a “block and wait” for response.,,,
Atom,Atom,,,"standards, XML",An ontology for describing RSS feeds in XML.,,,
attribute,attribute,,"property, characteristic",modeling,A property or characteristic of an entity.,,"An attribute is not a property in terms of a relationship expressed in RDF. In other words, an attribute does not connects two concepts.",
axiom,axiom,,postulate,logic,A statement of self-evident truth used as a starting point for reasoning.,,,
behavior,behavior,,,object-oriented software,The methods that execute code.,,,
binary,binary,,,modeling,A relationship with an inverse.,,,
bind,bind,,,,"Attaching a request to an implementation. Implementations are in specific technologies, and to invoke them one has to attach an often abstract description of a request to the specific module that will invoke it. Adaptors bind to applications.",,,
Business Process Execution Language,Business Process Execution Language,BPEL,,"standards, XML",A standard for assembling a set of discrete web-based services in a service-oriented architecture into an end-to-end process flow.,,,service-oriented architecture
canonical,canonical,,"canonicality, canonicity",computer science,An accepted standard. ,,"In message modeling, declaring something ""canonical"" is the process of declaring a standard for message content rather than allowing each project to define its own.",
cardinality,cardinality,,,modeling,A constraint on the number of successors on a relationship. ,"The cardinality for the relationship ""biological mother"" is 1; for ""biological child"" it is 0 or greater.",,
cardinality,cardinality,,,description logic,A type of class restriction that limits the members of a class to those with the requisite number of unique property assertions.,,,
categorical box,categorical box,Cbox,c-box,modeling,,,,
categorization,categorization,,,modeling,The act of ascribing an instance to a knowledge-level group for the purpose of inferring additional information about the instance.,,,
causation,causation,,,modeling,A relationship with teleologic attribute.,Travel causes displacement.,,
character data,character data,CDATA,,"standards, XML",Character data that is ignored by a parser.,,,parsed character data
class,class,,,object-oriented programming,A definition of attributes and behaviors for a type of instance; the basic module for object-oriented programming. ,,"In object-oriented programming, ""class"" and ""type"" are nearly synonymous, but the slight difference causes considerable problems.",
co-occurrence analysis,co-occurrence analysis,,,,Using contiguousness as a clue for evaluating the relatedness of things.,"If two terms typically show up near each other in text, they are likely related.",,
cohesion,cohesion,,,computer science,The degree to which the elements inside a module belong together.,"In a cohesive module, all the parts are closely related; there are no extraneous parts.",,
column,column,,,databases,An attribute for relational databases.,,,
commitment to ontology,commitment to ontology,,,Semantic Web,Declaration that a domain or document makes in terms of using and agreeing with the meaning of terms from a particular ontology. ,,The commitment to ontology is the key to different documents being able to intercommunicate.,
common logic,common logic,,,standards,Framework for a set of knowledge representation standards.,,,
competency question,competency question,,,modeling,"A question that defines the objective, scope and expressiveness requirements for an ontology.",,,
complete,complete,,,OWL,A class that has necessary and sufficient conditions; a restriction class.,,,
compound,compound,,,lexicography,Group of individual words whose meaning can only be known in combination.,"World Series, the White House",,
conceptual model,conceptual model,,,modeling,Model independent of implementation.,,,
conceptualization,conceptualization,,,modeling,"Abstract, simplified view of the world that we wish to represent for some purpose.",,,
conjunction,conjunction,,,logic,And.,,,
consortium,consortium,,,lexicography,"An association, typically a group of business companies.",,,
constraints,constraints,,,modeling,Predicates which must be true or else transactions are not committed.,,,
content,content,,,data,Intellectual property. ,"Documents, messages",,
controlled vocabulary,controlled vocabulary,,,lexicography,Pre-defined list of allowable terms with definitions.,,,
Cyc,Cyc,,,,"From encyclopedia, a project to capture and express the axioms needed for a machine to reason equivalently to a human.",,,
Cyc,Cyc,,,ontology,An ontology built by Cycorp to support common sense reasoning. ,,,
CycL,CycL,,,language,Inference language used in Cyc.,,,
DAML+OIL,DAML+OIL,,"DARPA Agent Markup Language, Ontology Inference Layer, Ontology Interchange Language",standards,A successor language to DAML and OIL that combines features of both.,,DAML+OIL is superseded by the Web Ontology Language (OWL).,
DARPA Agent Markup Language,DARPA Agent Markup Language,DAML,,standards,Pre-OWL extensions to RDF to create ontologies for the Semantic Web.,,,
declared membership,declared membership,,,"semantics, description logic, modeling",A class where the intention of the designers is to have users declare that instances/individuals are members of the class.,,,derived membership
deduction,deduction,,,logic,To infer knowledge of an instance from its membership in a category or type. The process of using knowledge but not of creating it.,,,
Defense Advanced Research Project Agency,Defense Advanced Research Project Agency,DARPA,,,A funding source for the early Internet and currently the semantic web.,,,
definition,definition,,,lexicography,A description of what something means.,,"Definitions are often sufficient for humans, rarely sufficient for software agents.",
delimiters,delimiters,,,,Separators in a message that allow a parser to know where one element starts and ends.,,,
dependency,dependency,,,"software design, modeling","Recognition that one software component will be adversely affected if another one changes. Most software has dependencies on its operating system, but will also have dependencies of an often deep stack of other software components.",,,
derived membership,derived membership,,,modeling,A class where the intention of the designers is to have instances/individuals be assigned membership by a reasoning engine.,,,
description logic,description logic,,,logic,A specialization in computer science that uses formal language to define classes. ,OWL/DL is a standard for describing Description Logic.,,
description logic,description logic,DL,,description logic(s),"A form of formal logic that focuses on inference, which as been adopted by the Semantic Web in the form of OWL/DL.",,,
design time,design time,,,software design,"Refers to things that need to be changed when the software is being designed (or modified). For example, a scheduling algorithm is normally a design-time choice. However, it is possible to design an architecture in which the algorithm is a run-time option that could be selected by a user or another software component.",,,
dialect,dialect,,,linguistics,A subset of a language agreed to by a group of people.,,,
dictionary,dictionary,,,software design,"Place where metadata for the definition of tables, columns, and so on are stored.",,,
dictionary,dictionary,,,lexicography,"A collection of word definitions, with the purpose of distinguishing closely related words. Most dictionaries contain considerable encyclopedia functionality, which obscures their distinction function.",,,
dimension,dimension,,,,One of the axes in a data warehouse that can be used to query or summarize the facts in the warehouse.,,,
directed,directed,,,modeling,"In a network model the property that says whether the arcs have ""arrows."" A project plan is ""directed"" in that the precedent relationships go in a particular direction. A thesaurus is undirected in that the definitions are only related, without having a direction to them.",,,
directed acylic graph,directed acylic graph,DAG,,graph theory,Graph (network) in which all the nodes are connected and prevented from looping.,,,
directed graph,directed graph,,,graph theory,A graph in which the arcs are directed.,,,
directory Mozilla,directory Mozilla,DMOZ,,directory Mozilla,Group of volunteers who categorize web sites.,,,
disambiguate,disambiguate,,,lexicography,"Process of selecting between alternate, ambiguous interpretations. Conversationally, people do this by asking, ""Do you mean x or y?""",,,
disjoint,disjoint,,," semantics, description logic","Two classes, sets or individuals can not have overlapping membership. Male and Female are disjoint.",,,
disjunction,disjunction,,,description logic,“Or.” The disjunction of two statements is true if either is true.,,,
distinction,distinction,,,vocabulary,To set up rules for disambiguating closely related concepts.,,,
document-type definition,document-type definition,DTD,,document-type definition,"Schema language for SGML, and XML.",,,
Dolce,Dolce,,,ontology,EU/Wonder Web sponsored Upper Ontology.,,,
domain,domain,,,database,"The set of valid values of an attribute, i.e., its type. Note: this is very different form the ontology definition of domain below.",,,
domain,domain,,,ontology,A restriction on the classes that are the subject of a property relationship.,,,
Dublin Core,Dublin Core,,,ontology,Standard ontology for documents.,,,
element,element,,,XML,Atomic unit of meaning in XML.,,,
encyclopedia,encyclopedia,,,vocabulary,"A description of what is known about a concept. This is distinct from distinguishing one concept from another, closely related, concept.",,,
entailment,entailment,,,logic,"Semantic implication within a context, for example buying entails paying.",,,
enterprise application integration,enterprise application integration,EAI,,enterprise application integration,Industry and products involved in making the interfacing of applications more economical.,,,
enterprise information integration,enterprise information integration,EII,,enterprise information integration,Architecture where federated queries are used to create an integrated view over many databases.,,,
enterprise message model,enterprise message model,EMM,,enterprise message model,A set of messages taken in the aggregate that represent the shared information in an organization.,,,
entity extraction,entity extraction,,,unstructured data,Process of identifying concepts found in documents and tagging them to a predefined ontology.,,,
